StrategyName,Direction,OpenPrice,ClosePrice,Profit/Loss,Profit/Loss in pips,Open Date,Close Date,First Commission,Second Commission,Deposit Curve,Percent Change,Adjusted Open Date,Adjusted Close Date,Parameters
,SELL,1.05625,1.06122,-62.35,-49.7,03/17/2015 00:00:01,03/17/2015 07:00:00,0.39833333333333337,0.39833333333333337,10599.734999999999,-0.005922101420676066,03/17/2015 00:00:01,03/17/2015 07:00:00,
,BUY,1.06119,1.05955,-20.45,-16.4,03/17/2015 07:00:00,03/17/2015 16:00:00,0.39833333333333337,0.39833333333333337,10578.488333333331,-0.0020044526270390542,03/17/2015 07:00:00,03/17/2015 16:00:00,
,SELL,1.0595502,1.06242,-35.71,-28.7,03/17/2015 16:00:02,03/18/2015 10:00:00,0.39833333333333337,0.4,10541.979999999998,-0.0034511862359665963,03/17/2015 16:00:02,03/18/2015 10:00:00,
,BUY,1.0625015,1.07939,211.97,168.9,03/18/2015 10:00:00,03/19/2015 02:00:00,0.4,0.375,10753.174999999998,0.020033712831934773,03/18/2015 10:00:00,03/19/2015 02:00:00,
,SELL,1.0794202,1.06946,106.05,99.6,03/19/2015 02:00:01,03/20/2015 01:00:00,0.375,0.33,10858.519999999997,0.0097966414570579731,03/19/2015 02:00:01,03/20/2015 01:00:00,
,BUY,1.0694838,1.08159,119.5,121.1,03/20/2015 01:00:00,03/23/2015 05:00:00,0.33,0.3225,10977.367499999997,0.010945091964650789,03/20/2015 01:00:00,03/23/2015 05:00:00,
,SELL,1.08159,1.0866,-50,-50.1,03/23/2015 05:00:00,03/23/2015 10:00:00,0.3225,0.3225,10926.722499999996,-0.0046135833568476644,03/23/2015 05:00:00,03/23/2015 10:00:00,
,BUY,1.0866538,1.09061,39.3,39.6,03/23/2015 10:00:00,03/24/2015 03:00:00,0.3225,0.3183333333333333,10965.381666666663,0.0035380386631642165,03/23/2015 10:00:00,03/24/2015 03:00:00,
,SELL,1.09062,1.09532,-45.61,-47,03/24/2015 03:00:05,03/24/2015 07:00:00,0.3183333333333333,0.3183333333333333,10919.134999999995,-0.0042175154565984394,03/24/2015 03:00:05,03/24/2015 07:00:00,
,BUY,1.09525,1.09384,-13.62,-14.1,03/24/2015 07:00:00,03/24/2015 13:00:00,0.3183333333333333,0.3183333333333333,10904.878333333327,-0.0013056589800078515,03/24/2015 07:00:00,03/24/2015 13:00:00,
,SELL,1.0938202,1.09641,-24.99,-25.9,03/24/2015 13:00:00,03/25/2015 08:00:00,0.3183333333333333,0.32,10879.249999999993,-0.0023501714141087645,03/24/2015 13:00:00,03/25/2015 08:00:00,
,BUY,1.0965115,1.09632,-1.86,-1.9,03/25/2015 08:00:00,03/25/2015 23:00:00,0.32,0.32333333333333331,10876.746666666659,-0.00023010164610005415,03/25/2015 08:00:00,03/25/2015 23:00:00,
,SELL,1.09631,1.10132,-49.54,-50.1,03/25/2015 23:00:00,03/26/2015 07:00:00,0.32333333333333331,0.32333333333333331,10826.55999999999,-0.0046141248118311438,03/25/2015 23:00:00,03/26/2015 07:00:00,
,BUY,1.10131,1.09837,-28.93,-29.4,03/26/2015 07:00:00,03/26/2015 12:00:00,0.32333333333333331,0.32333333333333331,10796.983333333323,-0.0027318618902650296,03/26/2015 07:00:00,03/26/2015 12:00:00,
,SELL,1.0983702,1.08767,105.01,107,03/26/2015 12:00:00,03/27/2015 12:00:00,0.32333333333333331,0.32,10901.349999999989,0.0096662802418577,03/26/2015 12:00:00,03/27/2015 12:00:00,
,BUY,1.0877238,1.08601,-16.68,-17.1,03/27/2015 12:00:00,03/30/2015 03:00:00,0.32,0.325,10884.024999999989,-0.0015892527072335762,03/27/2015 12:00:00,03/30/2015 03:00:00,
,SELL,1.0860104,1.07552,108.74,104.9,03/30/2015 03:00:01,03/31/2015 23:00:00,0.325,0.345,10992.094999999988,0.0099292311438093743,03/30/2015 03:00:01,03/31/2015 23:00:00,
,BUY,1.07552,1.07533,-2.05,-1.9,03/31/2015 23:00:00,04/01/2015 06:00:00,0.345,0.345,10989.354999999989,-0.00024927004360859184,03/31/2015 23:00:00,04/01/2015 06:00:00,
,SELL,1.07531,1.07783,-27.15,-25.2,04/01/2015 06:00:00,04/01/2015 11:00:00,0.345,0.345,10961.514999999989,-0.0025333606931435171,04/01/2015 06:00:00,04/01/2015 11:00:00,
,BUY,1.0779353,1.08808,109.01,101.4,04/01/2015 11:00:00,04/03/2015 04:00:00,0.345,0.36,11069.819999999989,0.009880477288039145,04/01/2015 11:00:00,04/03/2015 04:00:00,
,SELL,1.08808,1.09147,-37.53,-33.9,04/03/2015 04:00:00,04/03/2015 10:00:00,0.36,0.36,11031.569999999989,-0.0034553407372477636,04/03/2015 04:00:00,04/03/2015 10:00:00,
,BUY,1.0915438,1.09749,65.59,59.5,04/03/2015 10:00:00,04/06/2015 05:00:00,0.36,0.37333333333333335,11096.426666666655,0.0058791873383993972,04/03/2015 10:00:00,04/06/2015 05:00:00,
,SELL,1.09745,1.10198,-51.82,-45.3,04/06/2015 05:00:00,04/06/2015 11:00:00,0.37333333333333335,0.37333333333333335,11043.85999999999,-0.0047372607638253893,04/06/2015 05:00:00,04/06/2015 11:00:00,
,BUY,1.10197,1.09771,-48.5,-42.6,04/06/2015 11:00:00,04/06/2015 17:00:00,0.37333333333333335,0.37333333333333335,10994.613333333324,-0.0044591896915268788,04/06/2015 11:00:00,04/06/2015 17:00:00,
,SELL,1.0977604,1.08475,147.47,130.1,04/06/2015 17:00:00,04/08/2015 03:00:00,0.37333333333333335,0.3675,11141.34249999999,0.013345550427118207,04/06/2015 17:00:00,04/08/2015 03:00:00,
,BUY,1.08477,1.07907,-64.8,-57,04/08/2015 03:00:01,04/08/2015 13:00:00,0.3675,0.3675,11075.80749999999,-0.0058821457108961432,04/08/2015 03:00:01,04/08/2015 13:00:00,
,SELL,1.079061,1.06134,200.3,177.2,04/08/2015 13:00:00,04/12/2015 21:00:00,0.3675,0.375,11275.364999999989,0.018017422206010637,04/08/2015 13:00:00,04/12/2015 22:00:00,
,BUY,1.06136,1.05923,-24.51,-21.3,04/12/2015 21:00:00,04/13/2015 04:00:00,0.375,0.375,11250.104999999989,-0.0022402822436347067,04/12/2015 22:00:00,04/13/2015 04:00:00,
,SELL,1.05923,1.05922,0.12,0.1,04/13/2015 04:00:00,04/13/2015 12:00:00,0.375,0.375,11249.474999999989,-5.5999477338140427E-05,04/13/2015 04:00:00,04/13/2015 12:00:00,
,BUY,1.0592538,1.05405,-62.95,-52,04/13/2015 12:00:00,04/14/2015 04:00:00,0.375,0.385,11185.764999999989,-0.0056633754019632925,04/13/2015 12:00:00,04/14/2015 04:00:00,
,SELL,1.05403,1.0633,-112.7,-92.7,04/14/2015 04:00:00,04/14/2015 10:33:56,0.385,0.385,11072.294999999987,-0.01014414302463902,04/14/2015 04:00:00,04/14/2015 10:33:56,
,BUY,1.0637238,1.06325,-5.7,-4.7,04/14/2015 11:00:00,04/15/2015 01:00:00,0.385,0.3775,11065.832499999986,-0.00058366400100444058,04/14/2015 11:00:00,04/15/2015 01:00:00,
,SELL,1.06326,1.06382,-6.59,-5.6,04/15/2015 01:00:00,04/15/2015 12:00:00,0.3775,0.3775,11058.487499999987,-0.00066375485079855987,04/15/2015 01:00:00,04/15/2015 12:00:00,
,BUY,1.0638815,1.06383,-0.61,-0.5,04/15/2015 12:00:00,04/16/2015 06:00:00,0.3775,0.375,11057.124999999985,-0.0001232085310039997,04/15/2015 12:00:00,04/16/2015 06:00:00,
