Direction,OpenPrice,ClosePrice,Profit/Loss,Profit/Loss in pips,Open Date,Close Date,First Commission,Second Commission,Deposit Curve,Percent Change,Adjusted Open Date,Adjusted Close Date
SELL, 1.1100602, 1.1094, 8.2, 6.6, 8/27/2019 12:00:00 PM, 8/28/2019 8:00:00 AM, 0.4825, 0.4925, 4602.7775, 0.0015721722252111, 8/27/2019 12:00:00 PM, 8/28/2019 8:00:00 AM
BUY, 1.10941, 1.10881, -7.67, -6, 8/28/2019 8:00:00 AM, 8/28/2019 9:00:00 AM, 0.4925, 0.4925, 4594.1225, -0.00188038635367444, 8/28/2019 8:00:00 AM, 8/28/2019 9:00:00 AM
SELL, 1.1088206, 1.10851, 3.96, 3.1, 8/28/2019 9:00:00 AM, 8/29/2019 4:00:00 AM, 0.4925, 0.505, 4597.085, 0.000644845669657184, 8/28/2019 9:00:00 AM, 8/29/2019 4:00:00 AM
BUY, 1.10851, 1.10757, -12.34, -9.4, 8/29/2019 4:00:00 AM, 8/29/2019 9:00:00 AM, 0.505, 0.505, 4583.735, -0.0029040141741996, 8/29/2019 4:00:00 AM, 8/29/2019 9:00:00 AM
SELL, 1.1075706, 1.096, 151.47, 115.7, 8/29/2019 9:00:00 AM, 9/3/2019 3:00:00 PM, 0.505, 0.51, 4734.19, 0.0328236689075612, 8/29/2019 9:00:00 AM, 9/3/2019 3:00:00 PM
BUY, 1.0961353, 1.10216, 81.44, 60.2, 9/3/2019 3:00:00 PM, 9/5/2019 7:00:00 AM, 0.51, 0.515, 4814.605, 0.0169860102784214, 9/3/2019 3:00:00 PM, 9/5/2019 7:00:00 AM
SELL, 1.10217, 1.10405, -25.13, -18.8, 9/5/2019 7:00:00 AM, 9/5/2019 8:00:00 AM, 0.515, 0.515, 4788.445, -0.0054334675430279, 9/5/2019 7:00:00 AM, 9/5/2019 8:00:00 AM
BUY, 1.10405, 1.1037, -4.65, -3.5, 9/5/2019 8:00:00 AM, 9/5/2019 4:00:00 PM, 0.515, 0.515, 4782.765, -0.0011861888358328, 9/5/2019 8:00:00 AM, 9/5/2019 4:00:00 PM
SELL, 1.1037002, 1.10474, -13.81, -10.4, 9/5/2019 4:00:00 PM, 9/6/2019 8:00:00 AM, 0.515, 0.497142857142857, 4767.94285714286, -0.00309907404130106, 9/5/2019 4:00:00 PM, 9/6/2019 8:00:00 AM
BUY, 1.10474, 1.10297, -22.8, -17.7, 9/6/2019 8:00:01 AM, 9/6/2019 10:00:00 AM, 0.497142857142857, 0.497142857142857, 4744.14857142857, -0.00499047208140088, 9/6/2019 8:00:01 AM, 9/6/2019 10:00:00 AM
